source_id,source_org,source_document,source_date,domain,entry_type,original,original_normalized,yasashii,notes,retain_original,is_negative_example
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,ケアマネジャー,ケアマネジャー,介護(No.10)の相談を受けたり、介護のしかたを考える専門の人。,No.25,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,契約社員,契約社員,いつまで働くか決まっている人。３年以内に契約＜＝会社と働く人の約束＞が終わります。,No.26,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,外科,外科,けがを治したり、手術をしたりする病院。,No.27,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,健康保険,健康保険,会社で働いている人が入る医療保険(No.5)。,No.28,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,源泉徴収,源泉徴収,会社があなたの代わりに所得税(No.79)を国に払うこと。会社があなたの給料から所得税などを引いて払います。,No.29,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,公営住宅,公営住宅,県や市などが貸す家。,No.30,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,高額療養費,高額療養費,1か月に病院に払ったお金が多くなったときに戻ってくるお金。,No.31,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,後期高齢者医療制度,後期高齢者医療制度,75歳以上の人が入る医療保険(No.5)。,No.32,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,高校生等奨学給付金,高校生等奨学給付金,親の収入が少ない高校生が、教科書や勉強に使う物を買うためにもらうことができるお金。,No.33,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,（賃貸契約の）更新料,更新料,賃貸契約(No.94)が終わっても、引っ越さないで同じ家に住むときに、家賃以外に払うお金。,No.34,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,厚生年金保険,厚生年金保険,会社や工場、店などで、決まった時間以上働いていて、69歳までの人が入る年金(NO.106)。,No.35,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,高等学校卒業程度認定試験,高等学校卒業程度認定試験,日本の高校を卒業していない人が受ける試験。合格したら、大学や専門学校などに入るための試験を受けることができます。,No.36,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,高等学校等就学支援金,高等学校等就学支援金,あなたの代わりに、国が払う高校の授業料。,No.37,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,国民健康保険,国民健康保険,会社の健康保険(No.28)などに入っていない人が、自分で入る医療保険(No.5)。,No.38,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,国民年金,国民年金,20歳から59歳の人が、みんな入る国の年金(No.106)。,No.39,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,固定資産税,固定資産税,土地や家を持っている人が払う税金(No.82)。,No.40,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,雇用保険,雇用保険,会社をやめたあと仕事が見つからない人や育児休業(No.1)、介護休業(No.11)をしている人を助ける制度。,No.41,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,婚姻届,婚姻届,結婚する人が住んでいるまちの役所に出す紙。,No.42,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,婚姻要件具備証明書,婚姻要件具備証明書,外国人が婚姻届(No.42)を住んでいるまちの役所に出すときに必要な紙。,No.43,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,最低賃金,最低賃金,法律で決まっているいちばん安い給料。,No.44,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,在留カード,在留カード,３か月より長く日本に住む外国人が入管からもらうカード。名前や国籍、住所などが書いてあります。,No.45,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,在留期間更新許可,在留期間更新許可,在留期限(No.47)を長くしたいときにもらうもの。在留資格(No.48)は変わりません。,No.46,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,在留期限,在留期限,外国人が日本にいることができる最後の日。,No.47,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,在留資格,在留資格,外国人が日本でできること。仕事をすることができる、学校に行くことができる、家族と生活することができるなど。,No.48,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,在留資格取得許可,在留資格取得許可,日本で生まれた外国人の赤ちゃんが在留カード(No.45)をもらうこと。,No.49,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,在留資格変更許可,在留資格変更許可,在留資格(No.48)を変えるときにもらうもの。,No.50,False,False
