original,yasashii
防犯(1),犯罪の被害にあわないようにおきる前から考えておくこと。
マイナンバー（個人番号）,日本に住んでいる人が持つ番号。番号は、１２個の数字です。
マイナンバーカード（個人番号カード）,マイナンバーや名前、住所がわかるカード。顔の写真がつきます。（→マイナンバー）
マイナンバー通知カード・通知書,マイナンバーを知らせるための紙のカード。マイナンバーや、名前、住所などが書いてあります。顔の写真は入っていません。（→マイナンバー）
まちづくりセンター,まちの情報をもらったり、いろいろなことを学んだりすることができます。住んでいる家の近くにあります。
民生委員・児童委員,生活や福祉・子育てについての相談やサポートをする人。
民間住宅(1),市や県以外が持っている家。
持ち家(1),自分が買った家のこと。
家賃(2),部屋を借りるためのお金。
薬局・ドラッグストア,薬を売っている店。
予防接種(2),病気にならないための注射。
療育手帳,知能に障害がある人がもらう手帳。住んでいるまちの役所からもらうことができます。（手続きが必要です。）
礼金,家を借りるときに払うお礼のお金。
（賃貸契約の）連帯保証人,家を借りる人が、部屋を壊したときに直すお金や、家賃を払う事ができないとき、代わりにお金を払う人。
けっこうです,いりません
委員,～する人
回収する(2),集める
加入する,入る
近所(2),近く
行事,お祭りや運動会などの行事（例示する）
清掃活動,掃除する
トラブル,困ったこと
必須(2),必ず
ルール(3),決まっていること
連絡先(3),連絡するところ
～を回す,～を渡す
印鑑,判子
記載する,載せる
記入する(3),書く
更新する(2),新しくする
消印有効,締切の日までに郵便局へ出せばよいこと
原本,（コピーする）元のもの
減免(2),少なくなること<br>なくなること
コールセンター,電話で相談することができるところ
住民登録,住んでいることを役所に届ける
助成,援助
所得(2),給料
申告する,伝える。提出する
滞納する(3),まだ払っていない
手数料,手続きのためにかかるお金
パンフレット,案内や説明を書いている紙
必着,必ず着くようにする
フリーダイヤル,電話は無料です。お金はいりません
本人確認書類(2),在留カードやパスポート（例示する）
末日,○月○日（具体的な日時を書く）
免除(3),いらなくなること
臨時給付金,特別にもらうお金
業者,専門に仕事をしている人
収集する,集める
焼却する,焼いて捨てる
処分,捨てること
分別,種類によって分けること
ポイ捨て(2),ごみをゴミ箱以外の場所へ捨てること
リサイクル,もう一度使うこと
親子,親と子ども
学用品,学校で使うもの
給食(2),学校で出る食事
子育て,子どもを育てること
～歳児,～歳の子ども
児童扶養手当(2),親が一人で子どもを育てている家がもらうお金
世帯,家庭
世帯主,家庭の中心の人
同居,一緒に住むこと
入園,幼稚園や保育園に入ること
妊婦,お腹に赤ちゃんがいる人
配偶者,夫や妻
保育,小さい子どもを預かること
保育園(2),小さい子どもを預かるところ
保護者(3),親。親の代わりをする人
養う,育てる
悪化する(2),もっと悪くなる
アレルギー,体の具合が悪くなること
１錠(2),１つ
ウイルス,病気
食後(2),ご飯を食べた後
ストレス(2),疲れること<br>心配なこと
被保険者証,保険に入っていることを証明する紙
問診票,（実物を見せて）この紙
アクセス,～へ行くための乗り物<br>インターネットでニュースを見ること
インフォメーションセンター,相談（質問）できるところ
観光名所,有名なところ
キャンセル(2),～をやめること
宿泊する,泊まる
素泊まり,寝るだけ
半額,料金が半分
予定,いつ～する
旅券(2),パスポート。ビザ
多くの,たくさんの
年末,○月○日まで
年末年始,○月○日から○月○日まで
慌てない,ゆっくりと。急がないで
安否(3),大丈夫かどうか
生き埋め,壊れた建物の下にいて動けない人
一部破損する,少し壊れる
引火する(4),火がつく
迂回する(2),違う道を行く
運転を見合わせる,（電車は）来ない。動かない
炎上する(2),火が出る
エンジンを切る,エンジンを止める
応急措置(1),少しだけ治す
大声で,大きな声で
家屋(2),住むところ。家
外国人相談窓口,外国人が相談できるところ
確認する,よく見る
火災(3),火事
がれき,建物が壊れたゴミ
冠水,水が道にたくさんあること
危険(3),危ない
犠牲者(2),死んだ人。けがをした人
救急車(6),病気やけがをした人を運ぶ車
救助(2),助ける
緊急時(2),とても急いで助けが必要なとき。とても危ないとき
近所(3),近く
警戒する(2),気をつける
決壊する,壊れる
現在,今
呼吸(2),息
妨げ,じゃま
支援(2),手伝うこと。困っている人を助けること
死者(2),死んだ人
指定された,決まった。決められた
死亡する(2),死んでいる
重体(2),命が危ない
集団で,一緒に
収集,集める
情報(2),お知らせ
震源地(3),地震の中心
浸水(3),部屋に水が入る
震度(2),地震の大きさ
水位,水の高さ
すみやかに,すぐに
擦り傷,小さいケガ
清潔な,きれいな
全壊,すべて壊れてしまう
備える(3),用意する
大規模,大きい
ただちに,すぐに
保つ,そのままにする
断水(6),水道を使うことができない
近寄る,近くへ行く
注意する,気をつける
調理器具,料理を作るための道具
通行止め,通ることができないこと。ところ
津波(5),とても高い波
デマ(2),うその話
停電する,電気を使うことができない
倒壊する(3),壊れる
土砂災害,山から石や砂が落ちてくること
土砂崩れ(3),山から石や砂が落ちてくること
亡くなる,死ぬ
流れ込む,流れてくる
発生,起きること
早め,できるだけ早く
氾濫,川の水がたくさん流れること
控える,できるだけ～しない
被災地,（地震や津波）があったところ
避難所(3),逃げるところ
避難する(2),逃げる
避難指示,逃げるための注意
火の始末をする,火を消す
不通(2),動いていない
復旧,電気や水道を）使うことができるようになること
防災,安全のために用意する
暴風域,強い風が吹くところ
保護する(2),守る
身軽な,動きやすい
身の安全を確保する,自分の体を守る
無料(2),お金はいりません
優先(2),（ほかのものより）先にすること
行方不明(5),どこにいるか分からない人
揺れ(2),地震
翌朝,次の日の朝
余震(6),あとから来る地震
ライフライン(2),電気やガスや水道のこと
落下物(2),上から落ちるもの
連絡先(4),連絡するところ
路地,道
～に関する,～についての
～付近,～の近く
育児休業(1),子どもを育てるために、とることができる休み。
育児休業給付金,育児休業をしているあいだに、雇用保険からもらうことができるお金。（→育児休業、雇用保険）
遺族基礎年金,国民年金に入っていた人が死んだとき、家族が国民年金からもらうことができるお金。（→国民年金）
遺族厚生年金,厚生年金保険に入っていた人が死んだとき、家族が厚生年金保険からもらうことができるお金。（厚生年金保険）
医療保険(2),みんなからお金を集めて、けがや病気で病院に行く人を助ける制度。
印鑑登録証明書,あなたの「実印」がどれか書いてある紙。住んでいるまちの役所でもらうことができます。（→実印）
印鑑登録証(2),住んでいるまちの役所で印鑑登録証明書をもらうときに使うもの。「実印」を住んでいるまちの役所が認めたときにもらいます。（→印鑑登録証明書、実印）
オーバーステイ,在留期限を過ぎても日本にいること。（→在留期限）
大家,家を貸す人。
介護(3),年をとったり、特別な病気になったりして、毎日の生活（食べること、お風呂に入ることなど）をすることがむずかしい人を手伝うこと。
介護休業(2),家族の介護をするために、とることができる休み。（→介護）
介護休業給付金(1),介護休業をしているあいだに、雇用保険からもらうことができるお金。（→介護休業、雇用保険）
外国人学校(2),外国人の子どものための学校。それぞれの国の文化や言葉に合わせた学校があります。
介護保険(2),40歳以上の人からお金を集めて、介護が必要になった人を助ける制度。（→介護）
回覧板(2),自治会・町内会で使う、住んでいるまちの役所などからのお知らせが書いてあるもの。読み終わったら次の人に渡します。（→自治会・町内会）
確定申告(3),会社などの源泉徴収や年末調整をしない人などの所得税の払い方。住んでいるまちの税務署＜＝税金の仕事をする役所＞に書類を出します。（→源泉徴収、年末調整、所得税）
寡婦年金(2),夫が死んだときに、妻が国民年金からもらうことができるお金。（→国民年金）
眼科(2),目の病気を治す病院。
管理費（共益費）,アパートやマンションでみんなが使うものに払うお金。住んでいる人からお金を集めます。
義務教育学校,小学校と中学校が一つになった学校。
救急車(7),急な病気の人や、けがをした人を病院に運ぶ車。
給与所得の源泉徴収票(2),会社があなたの１年間の給料や、源泉徴収した所得税などを書いた紙。（→源泉徴収、所得税）
給与明細(2),会社があなたの毎月の給料や、源泉徴収した所得税などを書いた紙。（→源泉徴収、所得税）
緊急地震速報(3),強い地震が来る少し前に、テレビやスマートフォンに出るお知らせ。
ケアマネジャー(2),介護の相談を受けたり、介護のしかたを考える専門の人。（→介護）
契約社員,いつまで働くか決まっている人。３年以内に契約＜＝会社と働く人の約束＞が終わります。
外科,けがを治したり、手術をしたりする病院。
健康保険(2),会社で働いている人が入る医療保険。（→医療保険）
源泉徴収(3),会社があなたの代わりに所得税を国に払うこと。会社があなたの給料から所得税などを引いて払います。（→所得税）
公営住宅,県や市などが貸す家。
高額療養費(2),１か月に病院に払ったお金が多くなったときに戻ってくるお金。
後期高齢者医療制度(1),75歳以上の人が入る医療保険。（→医療保険）
高校生等奨学給付金(2),親の収入が少ない高校生が、教科書や勉強に使う物を買うためにもらうことができるお金。
（賃貸契約の）更新料,賃貸契約が終わっても、引っ越さないで同じ家に住むときに、家賃以外に払うお金。（→賃貸契約）
厚生年金保険(2),会社や工場、店などで、決まった時間以上働いていて、69歳までの人が入る年金。（→年金）
高等学校卒業程度認定試験(2),日本の高校を卒業していない人が受ける試験。合格したら、大学や専門学校などに入るための試験を受けることができます。
高等学校等就学支援金,あなたの代わりに、国が払う高校の授業料。
国民健康保険(2),会社の健康保険などに入っていない人が、自分で入る医療保険。（→健康保険、医療保険）
国民年金(3),20歳から59歳の人が、みんな入る国の年金。（→年金）
固定資産税(1),土地や家を持っている人が払う税金。（→税金）
雇用保険(2),会社をやめたあと仕事が見つからない人や育児休業、介護休業をしている人を助ける制度。（→育児休業、介護休業）
婚姻届(2),結婚する人が住んでいるまちの役所に出す紙。
婚姻要件具備証明書,外国人が婚姻届を住んでいるまちの役所に出すときに必要な紙。（→婚姻届）
最低賃金(2),法律で決まっているいちばん安い給料。
在留カード(2),３か月より長く日本に住む外国人が入管からもらうカード。名前や国籍、住所などが書いてあります。
在留期間更新許可(2),在留期限を長くしたいときにもらうもの。在留資格は変わりません。（→在留期限、在留資格）
在留期限,外国人が日本にいることができる最後の日。
在留資格(2),外国人が日本でできること。仕事をすることができる、学校に行くことができる、家族と生活することができるなど。
在留資格取得許可(2),日本で生まれた外国人の赤ちゃんが在留カードをもらうこと。（→在留カード）
在留資格変更許可,在留資格を変えるときにもらうもの。（→在留資格）
残業(3),１日に８時間より長く働くこと。または、１週間に40時間より長く働くこと。
産前産後休業(1),会社で仕事をしている女の人が、赤ちゃんが生まれる前にとることができる休みと、赤ちゃんが生まれた後にとらなければいけない休み。
産婦人科,女の人がなる病気を治したり、赤ちゃんを産んだりする病院
歯科,歯を治す病院。
資格外活動許可(2),仕事ができない在留資格の人が、仕事をしたいときにもらうもの。（→在留資格）
敷金（保証金）,家を借りるときに払うお金。家を借りた人が出て行ったあと大家が、家の壊れたところや汚くなったところを直すためなどに使います。（→大家）
自治会・町内会,近くに住んでいる人たちが作る会。安全で住みやすいまちにするために一緒に考えます。
実印,住んでいるまちの役所に認めてもらったはんこ。車や家を買うときなどに使います。
自動車重量税,車検などのときに払う税金。（→車検、税金）
自動車税／軽自動車税環境性能割,車を買ったときに払う税金。（→税金）
自動車税／軽自動車税種別割,毎年４月１日に車を持っている人が払う税金。（→税金）
児童手当(2),子どもが中学校を卒業するまで、子どもを育てている人がもらうことができるお金。
児童扶養手当(3),離婚などで、18歳までの子どもを１人で育てている人がもらうことができるお金。障害のある19歳までの子どもを１人で育てている人ももらうことができます。
自賠責保険(1),車やオートバイを運転する人からお金を集めて、事故にあった人を助ける制度。
死亡一時金(2),年金に入っていた人が死んだとき、家族が国民年金からもらうお金。（→国民年金）
死亡届,家族や一緒に生活していた人が死んだときに、まちの役所に出す紙。
社会保険・労働保険,国が、働いている人と会社からお金を集めて、困った人を助ける制度。
車検,１年か２年に１度、車やオートバイが安全に走ることができるか（使うことができるか）などを調べること。
車検証(2),車検が終わった後にもらう紙。（→車検）
就学援助,学校で使う物や給食などにかかるお金をもらうこと。収入が少ない小学生や中学生の親がもらうことができます。
就業規則(2),会社が決めた、働くときの細かいルール。
住民税,１月１日に日本に住所があって、働いている人が県や市、区などに払う税金。（→税金）
出産手当金(2),赤ちゃんを産むために会社を休み、給料がもらえないとき、健康保険からもらうことができるお金。（→健康保険）
出生届(3),赤ちゃんが生まれたときにまちの役所に出す紙。
出産育児一時金,赤ちゃんを産むとき、健康保険などからもらうことができるお金。（→健康保険）
障害基礎年金(2),体などに障害がある人が、国民年金からもらうことができるお金。（→国民年金）
障害厚生年金(2),体などに障害がある人が、厚生年金保険からもらうことができるお金。（→厚生年金保険）
消費税(3),物を買ったときやサービスを受けたときに払う税金。（→税金）
所得税(2),収入（働いてもらった給料など）から国に払う税金。（→税金）
身体障害者手帳(1),体に障害がある人が住んでいるまちの役所からもらう手帳。
生活困窮者自立支援制度,生活に困っている人（お金がない、仕事がない、住むところがない）を住んでいるまちの役所が一緒に考えて助ける制度。
税金(3),国や県、市、区などに払うお金。
整形外科(2),骨、関節、筋肉などを治す病院。
精神障害者保健福祉手帳,心に障害があって、毎日の生活が難しい人が、住んでいるまちの役所からもらう手帳。
租税条約,税金について国と国とのあいだで決めた約束。日本と約束をしている国の人は、税金が少なくなることがあります。（→税金)
第１号被保険者(1),国民年金だけに入っている人。会社に入らないで自分の店を持っている人、農業＜＝野菜などを作る仕事＞や漁業＜＝魚などをとる仕事＞をしている人、働いていない人などです。（→国民年金）
第３号被保険者(2),自分の夫や妻が厚生年金保険に入っている人、自分の夫や妻が65歳になる前の人、自分の１年の給料などが130万円より少ない人。国民年金だけに入っています。（→国民年金）
退職届(2),会社をやめるとき、理由などを書いて、会社に出す紙。
第２号被保険者(2),国民年金と厚生年金保険に入っている人。会社や工場、店などで働いている人です。（→国民年金、厚生年金保険）
脱退一時金(1),日本の年金をやめて自分の国に帰る人がもらうことができるお金。（→年金）
短時間労働者,働く時間が正社員より短いパートタイマーやアルバイトなど。
仲介手数料(2),家を借りるとき、あなたに家を紹介した不動産屋に払うお金。（→不動産屋）
中学校卒業程度認定試験(2),日本の中学校を卒業していない人が受ける試験。合格すると日本の高校に入るための試験を受けることができます。
賃貸契約(2),家を貸す人と借りる人の約束。
転居届,同じまちの中で、引っ越しをするときに役所に出す紙。
転出届(2),別のまちへ引っ越しをするときに、今まで住んでいた住所の役所に出す紙。引っ越しをして日本を出るときにも出します。
転入届(2),別のまちから引っ越しをしたときに、新しい住所の役所に出す紙。引っ越しをして日本に住み始めたときにも出します。
特別児童扶養手当(1),障害がある子どもを育てている人がもらうことができるお金。
特別徴収,会社が、住んでいるまちの役所に働いている人の住民税を払うこと。会社があなたの給料から税金を引いて払います。（→住民税、税金）
登山届,山に登る前に名前、住所、電話番号、登山ルートなどを書いて、役所などに届けておくもの。山で事故にあった人を助けるために役に立ちます。
内科(2),体の中の病気（かぜなど）を治す病院。
日本留学試験（EJU）,外国から日本の大学に留学したい学生が受ける試験。
乳幼児健診（乳幼児健康診査）,住んでいるまちの役所が、赤ちゃんが健康かどうかを調べること。
認定こども園,小学校に入る前の子どもが通うところ。ここは、幼稚園と保育園の両方の特徴があります。（→幼稚園、保育園）
妊婦健診（妊婦健康診査）,お腹に赤ちゃんがいる人が健康かどうかを調べること。
年金(3),みんなからお金を集めて、年齢の高い人や、病気やけがで体などに障害が出た人を助ける制度。
年金手帳(2),年金に入った人がもらう手帳。（→年金）
年次有給休暇(2),仕事を休んでも給料をもらうことができる休み。
年末調整(3),12月に会社が源泉徴収した所得税を計算して、調整するしくみ。多いときは会社があなたにお金を返します。少ないときはあなたが会社にお金を払います。（→源泉徴収、所得税）
派遣社員(2),派遣会社と契約＜＝派遣会社との約束＞して、別の会社で働く人。
ハザードマップ(2),災害が起きたときに、危ない場所や逃げる場所が書いてある地図。
母親教室・父親教室,新しくお父さん・お母さんになる人に、赤ちゃんを産んで育てるときに大切なことを、教えるところ。
ハローワーク(2),仕事を紹介する国の役所。
ファミリー・サポート・センター(2),用事があるときに、子どもの世話をする人を紹介するところ。
不動産屋(3),家を借りたい人や家を買いたい人にいろいろな家を紹介する店。
保育園(3),親（お父さん・お母さん）が働いているとき、0歳から小学校に入る前の子どもの世話をするところ。子どもが身の回りの世話を受けたり、遊びながらいろいろなことを身につけていきます。
放課後児童クラブ（学童保育）,親（お父さん・お母さん）が働いているとき、小学生の子どもの世話をしてもらうことができるところ。
防災訓練・避難訓練(1),災害が起きたときのために、安全に逃げる練習や、火を消す練習をすること。
防犯(2),犯罪の被害にあわないようにすること。
母子健康手帳(3),お腹に赤ちゃんがいる人が、住んでいるまちの役所からもらう手帳。赤ちゃんやお母さんの健康などについて書くものです。
民間住宅(2),大家から借りる家。（→大家）
持ち家(2),自分が買った家。
夜間中学(2),中学校を卒業していない人や、十分に通うことができなかった人が行く学校。卒業した人は、高校に入るための試験を受けることができます。
家賃(3),家を借りたときに毎月払うお金。
薬局・ドラッグストア,薬を売っている店。
幼稚園(3),３歳から小学校に入る前の子どもが通うところ。子どもが遊びながらいろいろなことを学びます。
予防接種(3),病気にならないための注射。
療育手帳,知能に障害がある人が住んでいるまちの役所からもらう手帳。
療養費(2),病院でかかったお金を自分で全部払ったときに、あとから医療保険からもらうことができるお金。（→医療保険）
礼金,借りる家が決まったときに、家を借りる人が払うお礼のお金。
（賃貸契約の）連帯保証人,家を借りた人が家賃を払うことができないときなどに、代わりに家賃を払う人。
労災保険,会社からお金を集めて、仕事で、けが・病気をした人などを助ける制度。
老齢基礎年金(2),65歳以上の人が国民年金からもらうことができるお金。（→国民年金）
老齢厚生年金(2),65歳以上の人が厚生年金保険からもらうことができるお金。（→厚生年金保険）
