original,yasashii
滞納する(1),はらわない
未加入(1),まだ　入っていない
加入する,入る
免除(1),はらう　必要が　ない
出生届(1),こどもが　うまれたことを　役所に　知らせる　紙
母子健康手帳(1),母と　こどもの　健康のことを　書く　小さな　本
保健指導,健康について　おしえる
助産師,こどもを　うむときに　てつだう人
保健師,健康について　おしえる人
乳児,1才までの　こども
幼児,1才から　5才までの　こども　
児童,小学校へ　いっている　こども
保育園、保育所,はたらく人が　こどもを　あずける　ところ
幼稚園(1),小学校へ　入る　まえの　こどもを　教育する　ところ
公立,府や　市などが　作った
私立,会社などが　つくった
教科書,学校で　つかう　勉強の　本
教材,勉強に　つかう　道具
上靴、上履き,たてものの　なかで　はく　くつ
保護者(1),こどもの　家族、お父さん、お母さんなど
授業料(1),授業を　うけるために　かかる　お金
就学,学校に　入る
編入学,学校に　ほかの　学校から　入る<br>（学校に　とちゅうから　入る）
登校する,学校へ　行く
下校する,学校から　家へ　かえる
遅刻する,時間に　おくれて　学校へ　行く
欠席する(2),学校を　休む
1学期、2学期、3学期,4月から7月、9月から12月、1月から3月
年度,4月から3月
担任,自分の　クラスの　先生
PTA,保護者＜こどもの　家族、お父さん、お母さんなど＞と　先生の　会
給食(1),学校が　用意する　ごはん
学級通信,学校からの　お知らせ
授業参観(1),保護者＜こどもの　家族、お父さん、お母さんなど＞が　授業を　見る
修学旅行,学校から　行く　旅行（泊まる　旅行）
面談,先生と　会って　話す
学童保育,学校が　おわった　あとに　こどもが　行く　ところ
指導する,おしえる
定時制,夜や　休みの日に　授業をする　学校
通信制,家で　勉強することが　できる　学校（学校まで　行く　必要が　ない）
奨学金,勉強のために　かりることが　できる　お金<br>勉強のために　もらうことが　できる　お金
～に鑑み,～を考えて
～に係る,～のこと
～の旨,～のこと
110番（ひゃくとおばん）,警察／110（いちいちぜろ）
セルフサービス(1),自分でする
たばこ税,たばこの税金
バリアフリー,段差のない、平らな
ポイ捨て(1),道に捨てる
ライフライン(1),水道、電気、ガス
ルール(2),決まっていること
ワンストップ,一つの受付、窓口
安否(2),生きているか、けがをしているか、大丈夫か
医療費,病気やけがを治すお金、病院に払うお金
一括して,まとめて
引火する(3),火がつく
迂回,別の道を行く、違う道を行く
往復,行く時と帰る時
応急措置(2),簡単な手当
下校,（学校から）家に帰る
可燃ごみ,燃えるごみ
可否,良いか、悪いか
河川の増水,川の水が増える
怪我人,けがをした人
懐中電灯(2),手に持つ電気（ライト）
崖が崩れる,崖が壊れた
該当する,当てはまる、合う
格段の,いろいろと、それぞれについて
還付,還付（お金が戻ってくること）
危険(1),危ない
危険個所,危ない所
記入する(2),書く
救援する,助ける
救急車(3),病気やけがをした人を助ける車
救助する(2),助ける
給水(1),水を配る、水をもらう
給与,働いてもらうお金
居住,住むこと
禁煙,タバコを吸ったらダメ
緊急時(1),とても危ないとき、助けが必要なとき
緊急地震速報(1),緊急地震速報（地震のお知らせ）br【音声】地震がきます
金融機関,銀行や郵便局
軽傷,小さいけが
欠席する(1),休む
建物が崩れる,建物が壊れた
顕著,著しい、明らかに
厳守する,必ず守る
減免(1),出すお金を少なくする
現住所,今住んでいる所
故障,壊れる
交通機関(2),電車、ばす、車など
公共交通機関,電車やバス
口にあう,美味しい／好き
控除,出すお金を少なくすること
更新する(1),新しくする
行方不明(3),どこにいるかわからない
高台(3),高いところ
骨折(2),骨を折る、骨を壊す
最寄り駅(1),いちばん近い駅
三者面談,お母さん／お父さんと◯◯君（子ども）と私（先生）と３人で話す
支援(1),困っていることを手伝うこと
支給する,渡す、支払う、出す
至急,急いで／早く
資する,役立つ、助けとなる
資金の交付,お金を渡す、お金を出す
資産,持っているお金や家など
事前,（～する）前に
治療する(1),病気やけがを治す
失業中,仕事がない、仕事をなくす
疾病,病気
写し,コピー
酒税,お酒の税金
授業参観(2),授業を見る
授業料(2),授業を受けるお金
周知する,広く知らせる、みんなに知らせる
就職(2),会社で仕事につく、仕事をする、働く
従前の,これまでの、前からの
重症,大きなけがをした
重体(1),命が危ない
出血(2),血が出る
出身,国
遵守する,よく守る
所定の,決まった
書籍,本
傷口,怪我をしている所
床上浸水,家の中に水が（たくさん）入る
消火器,火を消す道具
消防車(2),火を消す車
食料(2),食べ物、たべるもの
審査する,調べる、決める
申告,知らせる、役所に知らせる
申請する,申し込む、お願いする
震源地(2),地震の真ん中、地震の中心
震度(1),地震の大きさ
数次,何回も
精密検査(2),詳しい検査
税目,税金の種類
措置,取り扱い
粗大ごみ(1),家から出す大きいごみ。タンスなど
遡及する,過去の、以前に、前に
相続税,親などの家やお金をもらった時の税金
相談窓口(2),相談するところ／相談できるところ
対処する,取り組む
滞納する(2),まだ払っていない
貸与,貸す
大雨(3),雨がたくさん降る
大津波警報,大津波警報（津波のお知らせ）br【音声】大きい津波がきます
諾否,～を認めるか、認めないか
断水(3),水道が止まる、水が出ない
地割れ,地面が壊れた、道が壊れた
地震が収まる,地震が終わる
逐次,順番に、次々に
